Job ID	Agency	Posting Type	Full-Time/Part-Time indicator	Career Level	Salary Range From	Salary Range To	Salary Frequency	Posting Date
639537	DEPT OF HEALTH/MENTAL HYGIENE	External	Full-Time	Experienced (non-manager)	51528.0	59257.0	Annual	06/27/2024
598335	DEPARTMENT OF TRANSPORTATION	Internal	Full-Time	Experienced (non-manager)	100000.0	180000.0	Annual	08/21/2023
640560	OFFICE OF THE COMPTROLLER	Internal	Full-Time	Experienced (non-manager)	67680.0	77832.0	Annual	07/09/2024
643925	DEPARTMENT OF CORRECTION	Internal	Part-Time	Experienced (non-manager)	42.8883	49.3213	Hourly	07/26/2024
604725	DEPT OF ENVIRONMENT PROTECTION	External	Full-Time	Experienced (non-manager)	62370.0	93587.0	Annual	10/06/2023
623571	DEPT OF HEALTH/MENTAL HYGIENE	External	Full-Time	Experienced (non-manager)	77201.0	88000.0	Annual	01/26/2024
644675	OFFICE OF MANAGEMENT & BUDGET	Internal	Part-Time	Student	16.5	16.75	Hourly	07/31/2024
587741	DEPT OF ENVIRONMENT PROTECTION	External	Full-Time	Experienced (non-manager)	57394.0	89095.0	Annual	05/22/2023
645280	OFFICE OF CRIMINAL JUSTICE	External	Full-Time	Manager	54643.0	90000.0	Annual	08/06/2024
645280	OFFICE OF CRIMINAL JUSTICE	External	Full-Time	Manager	54643.0	90000.0	Annual	08/06/2024
596473	DEPT OF ENVIRONMENT PROTECTION	Internal	Full-Time	Experienced (non-manager)	98470.0	133496.0	Annual	08/11/2023
636648	HRA/DEPT OF SOCIAL SERVICES	Internal	Full-Time	Experienced (non-manager)	56677.0	65179.0	Annual	05/21/2024
623805	DEPT OF ENVIRONMENT PROTECTION	Internal	Full-Time	Manager	64922.0	173486.0	Annual	02/01/2024
641923	DEPT OF HEALTH/MENTAL HYGIENE	Internal	Full-Time	Entry-Level	41887.0	48170.0	Annual	07/12/2024
639829	DEPT OF ENVIRONMENT PROTECTION	External	Full-Time	Experienced (non-manager)	92283.0	124080.0	Annual	07/30/2024
540174	BRONX DISTRICT ATTORNEY	Internal	Full-Time	Experienced (non-manager)	80440.0	167610.0	Annual	07/13/2022
640554	OFFICE OF THE COMPTROLLER	Internal	Full-Time	Experienced (non-manager)	85000.0	95000.0	Annual	07/09/2024
582411	DEPT OF ENVIRONMENT PROTECTION	Internal	Full-Time	Manager	80931.0	208826.0	Annual	04/23/2023
645261	OFFICE OF CRIMINAL JUSTICE	Internal	Full-Time	Manager	64142.0	110000.0	Annual	08/06/2024
637055	HRA/DEPT OF SOCIAL SERVICES	External	Full-Time	Experienced (non-manager)	66114.0	66114.0	Annual	06/28/2024
644025	DEPT OF CITYWIDE ADMIN SVCS	External	Full-Time	Executive	66066.0	113000.0	Annual	07/29/2024
609163	DEPT OF DESIGN & CONSTRUCTION	Internal	Full-Time	Experienced (non-manager)	88026.0	105000.0	Annual	10/19/2023
